id,type,from,to,note,created_at
edge:framework:market:framework:root,requires,framework:market,framework:root,,2026-01-31T22:00:03.711365
edge:framework:problem:framework:root,requires,framework:problem,framework:root,,2026-01-31T22:00:03.711371
edge:framework:solution:framework:root,requires,framework:solution,framework:root,,2026-01-31T22:00:03.711374
edge:framework:timing:framework:root,requires,framework:timing,framework:root,,2026-01-31T22:00:03.711376
edge:framework:founder:framework:root,requires,framework:founder,framework:root,,2026-01-31T22:00:03.711378
edge:framework:competition:framework:root,requires,framework:competition,framework:root,,2026-01-31T22:00:03.711380
edge:framework:business_model:framework:root,requires,framework:business_model,framework:root,,2026-01-31T22:00:03.711384
edge:framework:gtm:framework:root,requires,framework:gtm,framework:root,,2026-01-31T22:00:03.711388
edge:framework:market:size:framework:market,requires,framework:market:size,framework:market,,2026-01-31T22:00:03.711391
edge:framework:market:growth:framework:market,requires,framework:market:growth,framework:market,,2026-01-31T22:00:03.711393
edge:framework:market:structure:framework:market,requires,framework:market:structure,framework:market,,2026-01-31T22:00:03.711395
edge:framework:market:why:framework:market,requires,framework:market:why,framework:market,,2026-01-31T22:00:03.711397
edge:framework:problem:who:framework:problem,requires,framework:problem:who,framework:problem,,2026-01-31T22:00:03.711400
edge:framework:problem:pain:framework:problem,requires,framework:problem:pain,framework:problem,,2026-01-31T22:00:03.711402
edge:framework:problem:current_solution:framework:problem,requires,framework:problem:current_solution,framework:problem,,2026-01-31T22:00:03.711404
edge:framework:problem:frequency:framework:problem,requires,framework:problem:frequency,framework:problem,,2026-01-31T22:00:03.711406
edge:framework:problem:why_unsolved:framework:problem,requires,framework:problem:why_unsolved,framework:problem,,2026-01-31T22:00:03.711408
edge:framework:solution:what:framework:solution,requires,framework:solution:what,framework:solution,,2026-01-31T22:00:03.711410
edge:framework:solution:different:framework:solution,requires,framework:solution:different,framework:solution,,2026-01-31T22:00:03.711412
edge:framework:solution:moat:framework:solution,requires,framework:solution:moat,framework:solution,,2026-01-31T22:00:03.711414
