id,type,title,content,confidence,created_at,updated_at,source,tested,valence,framework_category,description,is_skeleton,parent_id,position_x,position_y,position_level
framework:root,framework,THE IDEA,,100,2026-01-31T22:00:03.710940,2026-01-31T22:00:03.710949,,,,,Your startup idea - the central thesis that everything else supports or challenges.,false,,,,
framework:market,framework,MARKET,,100,2026-01-31T22:00:03.710958,2026-01-31T22:00:03.710958,,,,,Understanding the market you're entering - its size growth and structure.,false,,,,
framework:problem,framework,PROBLEM,,100,2026-01-31T22:00:03.710963,2026-01-31T22:00:03.710963,,,,,The problem you're solving - who has it how painful it is and why it persists.,false,,,,
framework:solution,framework,SOLUTION,,100,2026-01-31T22:00:03.710967,2026-01-31T22:00:03.710968,,,,,What you're building - how it's different defensible and achievable.,false,,,,
framework:timing,framework,TIMING,,100,2026-01-31T22:00:03.710971,2026-01-31T22:00:03.710972,,,,,Why now is the right time - what changed and what's the window of opportunity.,false,,,,
framework:founder,framework,FOUNDER,,100,2026-01-31T22:00:03.710975,2026-01-31T22:00:03.710976,,,,,Why you're the right person/team - your advantages and gaps.,false,,,,
framework:competition,framework,COMPETITION,,100,2026-01-31T22:00:03.710979,2026-01-31T22:00:03.710980,,,,,The competitive landscape - who else is trying who failed and why you'll win.,false,,,,
framework:business_model,framework,BUSINESS MODEL,,100,2026-01-31T22:00:03.710987,2026-01-31T22:00:03.710988,,,,,How you make money - pricing unit economics and path to profitability.,false,,,,
framework:gtm,framework,GTM,,100,2026-01-31T22:00:03.710992,2026-01-31T22:00:03.710993,,,,,Go-to-market strategy - how you'll find and acquire customers.,false,,,,
framework:market:size,framework,Market Size,,100,2026-01-31T22:00:03.710997,2026-01-31T22:00:03.710998,,,,,What is the Total Addressable Market (TAM) Serviceable Addressable Market (SAM) and Serviceable Obtainable Market (SOM)?,false,,,,
framework:market:growth,framework,Market Growth,,100,2026-01-31T22:00:03.711001,2026-01-31T22:00:03.711001,,,,,How fast is this market growing? What's the CAGR? Is it accelerating or decelerating?,false,,,,
framework:market:structure,framework,Market Structure,,100,2026-01-31T22:00:03.711005,2026-01-31T22:00:03.711005,,,,,Is the market fragmented (many small players) or concentrated (few large players)?,false,,,,
framework:market:why,framework,Why This Market?,,100,2026-01-31T22:00:03.711008,2026-01-31T22:00:03.711009,,,,,Why did you choose this market? What unique insight or connection do you have?,false,,,,
framework:problem:who,framework,Who Has This Problem?,,100,2026-01-31T22:00:03.711012,2026-01-31T22:00:03.711013,,,,,Describe your target customer in detail. What segment experiences this problem most acutely?,false,,,,
framework:problem:pain,framework,Pain Level (1-10),,100,2026-01-31T22:00:03.711016,2026-01-31T22:00:03.711016,,,,,"How painful is this problem? A ""10"" is a hair-on-fire emergency.",false,,,,
framework:problem:current_solution,framework,Current Solutions,,100,2026-01-31T22:00:03.711019,2026-01-31T22:00:03.711020,,,,,How do people solve this problem today? What workarounds hacks or alternatives exist?,false,,,,
framework:problem:frequency,framework,Frequency,,100,2026-01-31T22:00:03.711040,2026-01-31T22:00:03.711045,,,,,How often do customers experience this problem? Daily? Weekly? Once a year?,false,,,,
framework:problem:why_unsolved,framework,Why Unsolved?,,100,2026-01-31T22:00:03.711053,2026-01-31T22:00:03.711053,,,,,Why hasn't this problem been solved already? What prevented previous solutions?,false,,,,
framework:solution:what,framework,What Do You Build?,,100,2026-01-31T22:00:03.711058,2026-01-31T22:00:03.711058,,,,,Describe your product or service. What is it concretely?,false,,,,
framework:solution:different,framework,How Is It Different?,,100,2026-01-31T22:00:03.711062,2026-01-31T22:00:03.711063,,,,,Not just better - how is it fundamentally different? What's the 10x improvement?,false,,,,
framework:solution:moat,framework,What's the Moat?,,100,2026-01-31T22:00:03.711066,2026-01-31T22:00:03.711066,,,,,What makes this defensible? Network effects data brand patents regulatory switching costs?,false,,,,
framework:solution:buildable,framework,Can You Build It?,,100,2026-01-31T22:00:03.711069,2026-01-31T22:00:03.711070,,,,,Do you have the technical ability to build this? What's the hardest part?,false,,,,
framework:solution:v1,framework,First Version (MVP),,100,2026-01-31T22:00:03.711073,2026-01-31T22:00:03.711074,,,,,What's the minimum viable product? What can you ship in weeks not months?,false,,,,
framework:timing:why_now,framework,Why Now?,,100,2026-01-31T22:00:03.711077,2026-01-31T22:00:03.711077,,,,,What makes now the right time? Why would this not have worked 5 years ago?,false,,,,
framework:timing:change,framework,What Changed?,,100,2026-01-31T22:00:03.711080,2026-01-31T22:00:03.711081,,,,,What recent shift enabled this opportunity? Technology regulation behavior cost?,false,,,,
framework:timing:window,framework,Window of Opportunity,,100,2026-01-31T22:00:03.711084,2026-01-31T22:00:03.711085,,,,,How long is the window? Is this a land grab or can you take your time?,false,,,,
framework:timing:late,framework,If You're Late?,,100,2026-01-31T22:00:03.711088,2026-01-31T22:00:03.711088,,,,,What happens if you're 2 years late? Does the opportunity disappear or just shrink?,false,,,,
framework:founder:why_you,framework,Why You?,,100,2026-01-31T22:00:03.711091,2026-01-31T22:00:03.711092,,,,,Why are you the right person to build this? What's your unique founder-market fit?,false,,,,
framework:founder:domain,framework,Domain Expertise,,100,2026-01-31T22:00:03.711095,2026-01-31T22:00:03.711095,,,,,What relevant domain expertise do you have? Years in industry specific knowledge?,false,,,,
framework:founder:technical,framework,Technical Ability,,100,2026-01-31T22:00:03.711098,2026-01-31T22:00:03.711099,,,,,Can you build the product yourself? What's your technical background?,false,,,,
framework:founder:network,framework,Network Advantage,,100,2026-01-31T22:00:03.711102,2026-01-31T22:00:03.711102,,,,,Do you have distribution or network advantages? Access to customers partners talent?,false,,,,
framework:founder:gaps,framework,Gaps,,100,2026-01-31T22:00:03.711105,2026-01-31T22:00:03.711106,,,,,What do you lack? Be honest about weaknesses and blind spots.,false,,,,
framework:founder:cofounder,framework,Co-founder Needs,,100,2026-01-31T22:00:03.711109,2026-01-31T22:00:03.711109,,,,,Do you need a co-founder? What profile would complement you?,false,,,,
framework:competition:direct,framework,Direct Competitors,,100,2026-01-31T22:00:03.711112,2026-01-31T22:00:03.711113,,,,,Who offers a similar solution to the same problem? What are their strengths and weaknesses?,false,,,,
framework:competition:indirect,framework,Indirect Competitors,,100,2026-01-31T22:00:03.711116,2026-01-31T22:00:03.711117,,,,,What alternatives do customers use even if not directly competing? Substitutes and workarounds?,false,,,,
framework:competition:failed,framework,Failed Attempts,,100,2026-01-31T22:00:03.711134,2026-01-31T22:00:03.711135,,,,,Who tried this before and failed? Why did they fail? What can you learn from their autopsy?,false,,,,
framework:competition:incumbents,framework,Why Not Incumbents?,,100,2026-01-31T22:00:03.711138,2026-01-31T22:00:03.711139,,,,,Why won't existing large players just add this feature or acquire you?,false,,,,
framework:business_model:revenue,framework,Revenue Model,,100,2026-01-31T22:00:03.711142,2026-01-31T22:00:03.711143,,,,,How do you make money? Subscription transaction advertising licensing?,false,,,,
framework:business_model:pricing,framework,Pricing,,100,2026-01-31T22:00:03.711146,2026-01-31T22:00:03.711146,,,,,How do you price? What's the pricing structure and how did you arrive at it?,false,,,,
framework:business_model:unit_economics,framework,Unit Economics,,100,2026-01-31T22:00:03.711149,2026-01-31T22:00:03.711150,,,,,What are your CAC LTV and LTV:CAC ratio? Gross margins per customer?,false,,,,
framework:business_model:profitability,framework,Path to Profitability,,100,2026-01-31T22:00:03.711153,2026-01-31T22:00:03.711154,,,,,What does the path to profitability look like? When and how do you become profitable?,false,,,,
framework:gtm:pmf_type,framework,PMF Path,,100,2026-01-31T22:00:03.711157,2026-01-31T22:00:03.711158,,,,,What type of Product-Market Fit are you pursuing? Hair on Fire Hard Fact or Future Vision?,false,,,,
framework:gtm:first_customers,framework,First Customers,,100,2026-01-31T22:00:03.711161,2026-01-31T22:00:03.711161,,,,,Who are your first 10 customers? Do you have names and can you contact them today?,false,,,,
framework:gtm:acquisition,framework,Acquisition Channel,,100,2026-01-31T22:00:03.711164,2026-01-31T22:00:03.711165,,,,,What's your primary customer acquisition channel? Paid organic viral sales partnerships?,false,,,,
framework:gtm:sales_motion,framework,Sales Motion,,100,2026-01-31T22:00:03.711168,2026-01-31T22:00:03.711168,,,,,Is this self-serve inside sales field sales or product-led? What's the typical sales cycle?,false,,,,
framework:gtm:expansion,framework,Expansion Strategy,,100,2026-01-31T22:00:03.711171,2026-01-31T22:00:03.711172,,,,,How do you expand within accounts and to new segments? Land and expand plan?,false,,,,
31d4469c-af5f-4c96-bb1d-b05e61437f4e,fact,Maria is restaurant owner,Maria owns a restaurant,90,2026-01-31T22:12:46.526986,2026-01-31T22:12:46.526986,,,,,,,,,,
394cff42-5604-4ced-8e60-b7c717ea3afc,evidence,Restaurant food waste: $2500/month,"Restaurant experiences $2,500 per month in food waste costs",95,2026-01-31T22:12:46.553883,2026-01-31T22:12:46.553883,,,supporting,,,,,,,
1859ec5c-4b11-47b6-81c9-2c5397d625e7,fact,Maria owns restaurant,Maria is a restaurant owner,90,2026-01-31T22:19:10.777662,2026-01-31T22:19:10.777662,,,,,,,,,,
becacbdf-92da-45ed-a6e6-b824239ada8c,evidence,Restaurant monthly food waste cost: $2500,"Restaurant experiences $2,500 per month in food waste costs",95,2026-01-31T22:19:10.784354,2026-01-31T22:19:10.784354,,,supporting,,,,,,,
c4df48b1-8d91-4e7d-951b-c1fe5da8912b,evidence,Maria: Tried apps but failed,Restaurant owner Maria tried existing apps to solve food waste but they were unsuccessful,85,2026-01-31T22:27:06.087624,2026-01-31T22:27:06.087624,,,supporting,,,,,,,
a8b0b335-7648-4559-a8b2-8a7662d6508f,claim,Food waste market opportunity,There is a large market opportunity in solving restaurant food waste,40,2026-01-31T22:27:06.129835,2026-01-31T22:27:06.129835,,false,,,,,,,,
d9edccf2-debf-48a2-8f50-2869a44a8cbb,claim,[Question] What specific features did the apps lack that caus...,"Follow-up question: What specific features did the apps lack that caused them to fail for Maria?

Context: [VALIDATION] Understanding the reasons behind the failure of existing solutions can help identify what needs to be improved.",20,2026-01-31T22:27:06.134243,2026-01-31T22:27:06.134243,,false,,,,,,,,
c3decebb-060e-4ca0-b140-d364c8e19653,claim,[Question] How many other restaurant owners has Maria spoken ...,"Follow-up question: How many other restaurant owners has Maria spoken to about their food waste challenges?

Context: [QUANTITATIVE] This will help gauge the broader market interest and validate the claim of a large market opportunity.",20,2026-01-31T22:27:06.136860,2026-01-31T22:27:06.136860,,false,,,,,,,,
e261c1ca-a9c3-49a0-b820-c96722970e45,claim,[Question] What alternatives do restaurant owners currently u...,"Follow-up question: What alternatives do restaurant owners currently use to manage food waste aside from apps?

Context: [CUSTOMER] Identifying current alternatives can reveal competition and customer preferences.",20,2026-01-31T22:27:06.139345,2026-01-31T22:27:06.139345,,false,,,,,,,,
dc139ed3-b221-4a23-99f1-fc4941852aaf,claim,[Question] What would be the financial impact on Maria's rest...,"Follow-up question: What would be the financial impact on Maria's restaurant if a solution fails to reduce food waste effectively?

Context: [RISK] Understanding the consequences of failure can highlight the urgency and importance of solving this problem.",20,2026-01-31T22:27:06.142223,2026-01-31T22:27:06.142223,,false,,,,,,,,
claim-3e97da9d,claim,Founder claims exceptional technical ability,Founder states they are 'the most technical person ever',40,2026-02-01T03:29:23.390262,2026-02-01T03:29:23.390262,Founder statement,false,,,,,,,,
claim-76cef3fa,claim,Technical talent universally valued,Everyone loves technical people,35,2026-02-01T03:36:05.534127,2026-02-01T03:36:05.534127,,false,,,,,,,,
