id,type,title,content,confidence,createdAt,updatedAt,source,tested,verified,valence,frameworkCategory,description,isSkeleton,parentId,positionX,positionY,positionLevel
framework:root,framework,THE IDEA,,100,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,,,,,Your startup idea - the central thesis that everything else supports or challenges.,true,,0,0,0
framework:market,framework,MARKET,,100,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,,,,market,Understanding the market you're entering - its size growth and structure.,true,framework:root,-630,150,1
framework:problem,framework,PROBLEM,,100,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,,,,problem,The problem you're solving - who has it how painful it is and why it persists.,true,framework:root,-450,150,1
framework:solution,framework,SOLUTION,,100,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,,,,solution,What you're building - how it's different defensible and achievable.,true,framework:root,-270,150,1
framework:timing,framework,TIMING,,100,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,,,,timing,Why now is the right time - what changed and what's the window of opportunity.,true,framework:root,-90,150,1
framework:founder,framework,FOUNDER,,100,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,,,,founder,Why you're the right person/team - your advantages and gaps.,true,framework:root,90,150,1
framework:competition,framework,COMPETITION,,100,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,,,,competition,The competitive landscape - who else is trying who failed and why you'll win.,true,framework:root,270,150,1
framework:business_model,framework,BUSINESS MODEL,,100,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,,,,business_model,How you make money - pricing unit economics and path to profitability.,true,framework:root,450,150,1
framework:gtm,framework,GTM,,100,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,,,,gtm,Go-to-market strategy - how you'll find and acquire customers.,true,framework:root,630,150,1
framework:market:size,framework,Market Size,,100,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,,,,market,What is the Total Addressable Market (TAM) Serviceable Addressable Market (SAM) and Serviceable Obtainable Market (SOM)?,true,framework:market,-780,300,2
framework:market:growth,framework,Market Growth,,100,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,,,,market,How fast is this market growing? What's the CAGR? Is it accelerating or decelerating?,true,framework:market,-660,300,2
framework:market:structure,framework,Market Structure,,100,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,,,,market,Is the market fragmented (many small players) or concentrated (few large players)?,true,framework:market,-540,300,2
framework:market:why,framework,Why This Market?,,100,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,,,,market,Why did you choose this market? What unique insight or connection do you have?,true,framework:market,-420,300,2
framework:problem:who,framework,Who Has This Problem?,,100,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,,,,problem,Describe your target customer in detail. What segment experiences this problem most acutely?,true,framework:problem,-690,300,2
framework:problem:pain,framework,Pain Level (1-10),,100,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,,,,problem,How painful is this problem? A "10" is a hair-on-fire emergency.,true,framework:problem,-590,300,2
framework:problem:current_solution,framework,Current Solutions,,100,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,,,,problem,How do people solve this problem today? What workarounds hacks or alternatives exist?,true,framework:problem,-490,300,2
framework:problem:frequency,framework,Frequency,,100,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,,,,problem,How often do customers experience this problem? Daily? Weekly? Once a year?,true,framework:problem,-390,300,2
framework:problem:why_unsolved,framework,Why Unsolved?,,100,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,,,,problem,Why hasn't this problem been solved already? What prevented previous solutions?,true,framework:problem,-290,300,2
framework:solution:what,framework,What Do You Build?,,100,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,,,,solution,Describe your product or service. What is it concretely?,true,framework:solution,-510,300,2
framework:solution:different,framework,How Is It Different?,,100,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,,,,solution,Not just better - how is it fundamentally different? What's the 10x improvement?,true,framework:solution,-410,300,2
framework:solution:moat,framework,What's the Moat?,,100,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,,,,solution,What makes this defensible? Network effects data brand patents regulatory switching costs?,true,framework:solution,-310,300,2
framework:solution:buildable,framework,Can You Build It?,,100,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,,,,solution,Do you have the technical ability to build this? What's the hardest part?,true,framework:solution,-210,300,2
framework:solution:v1,framework,First Version (MVP),,100,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,,,,solution,What's the minimum viable product? What can you ship in weeks not months?,true,framework:solution,-110,300,2
framework:timing:why_now,framework,Why Now?,,100,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,,,,timing,What makes now the right time? Why would this not have worked 5 years ago?,true,framework:timing,-240,300,2
framework:timing:change,framework,What Changed?,,100,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,,,,timing,What recent shift enabled this opportunity? Technology regulation behavior cost?,true,framework:timing,-120,300,2
framework:timing:window,framework,Window of Opportunity,,100,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,,,,timing,How long is the window? Is this a land grab or can you take your time?,true,framework:timing,0,300,2
framework:timing:late,framework,If You're Late?,,100,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,,,,timing,What happens if you're 2 years late? Does the opportunity disappear or just shrink?,true,framework:timing,120,300,2
framework:founder:why_you,framework,Why You?,,100,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,,,,founder,Why are you the right person to build this? What's your unique founder-market fit?,true,framework:founder,-160,300,2
framework:founder:domain,framework,Domain Expertise,,100,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,,,,founder,What relevant domain expertise do you have? Years in industry specific knowledge?,true,framework:founder,-60,300,2
framework:founder:technical,framework,Technical Ability,,100,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,,,,founder,Can you build the product yourself? What's your technical background?,true,framework:founder,40,300,2
framework:founder:network,framework,Network Advantage,,100,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,,,,founder,Do you have distribution or network advantages? Access to customers partners talent?,true,framework:founder,140,300,2
framework:founder:gaps,framework,Gaps,,100,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,,,,founder,What do you lack? Be honest about weaknesses and blind spots.,true,framework:founder,240,300,2
framework:founder:cofounder,framework,Co-founder Needs,,100,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,,,,founder,Do you need a co-founder? What profile would complement you?,true,framework:founder,340,300,2
framework:competition:direct,framework,Direct Competitors,,100,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,,,,competition,Who offers a similar solution to the same problem? What are their strengths and weaknesses?,true,framework:competition,120,300,2
framework:competition:indirect,framework,Indirect Competitors,,100,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,,,,competition,What alternatives do customers use even if not directly competing? Substitutes and workarounds?,true,framework:competition,220,300,2
framework:competition:failed,framework,Failed Attempts,,100,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,,,,competition,Who tried this before and failed? Why did they fail? What can you learn from their autopsy?,true,framework:competition,320,300,2
framework:competition:incumbents,framework,Why Not Incumbents?,,100,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,,,,competition,Why won't existing large players just add this feature or acquire you?,true,framework:competition,420,300,2
framework:business_model:revenue,framework,Revenue Model,,100,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,,,,business_model,How do you make money? Subscription transaction advertising licensing?,true,framework:business_model,300,300,2
framework:business_model:pricing,framework,Pricing,,100,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,,,,business_model,How do you price? What's the pricing structure and how did you arrive at it?,true,framework:business_model,400,300,2
framework:business_model:unit_economics,framework,Unit Economics,,100,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,,,,business_model,What are your CAC LTV and LTV:CAC ratio? Gross margins per customer?,true,framework:business_model,500,300,2
