id,type,from,to,note,createdAt
edge:framework:market:framework:root,requires,framework:market,framework:root,,2025-01-01T00:00:00.000Z
edge:framework:problem:framework:root,requires,framework:problem,framework:root,,2025-01-01T00:00:00.000Z
edge:framework:solution:framework:root,requires,framework:solution,framework:root,,2025-01-01T00:00:00.000Z
edge:framework:timing:framework:root,requires,framework:timing,framework:root,,2025-01-01T00:00:00.000Z
edge:framework:founder:framework:root,requires,framework:founder,framework:root,,2025-01-01T00:00:00.000Z
edge:framework:competition:framework:root,requires,framework:competition,framework:root,,2025-01-01T00:00:00.000Z
edge:framework:business_model:framework:root,requires,framework:business_model,framework:root,,2025-01-01T00:00:00.000Z
edge:framework:gtm:framework:root,requires,framework:gtm,framework:root,,2025-01-01T00:00:00.000Z
edge:framework:market:size:framework:market,requires,framework:market:size,framework:market,,2025-01-01T00:00:00.000Z
edge:framework:market:growth:framework:market,requires,framework:market:growth,framework:market,,2025-01-01T00:00:00.000Z
edge:framework:market:structure:framework:market,requires,framework:market:structure,framework:market,,2025-01-01T00:00:00.000Z
edge:framework:market:why:framework:market,requires,framework:market:why,framework:market,,2025-01-01T00:00:00.000Z
edge:framework:problem:who:framework:problem,requires,framework:problem:who,framework:problem,,2025-01-01T00:00:00.000Z
edge:framework:problem:pain:framework:problem,requires,framework:problem:pain,framework:problem,,2025-01-01T00:00:00.000Z
edge:framework:problem:current_solution:framework:problem,requires,framework:problem:current_solution,framework:problem,,2025-01-01T00:00:00.000Z
edge:framework:problem:frequency:framework:problem,requires,framework:problem:frequency,framework:problem,,2025-01-01T00:00:00.000Z
edge:framework:problem:why_unsolved:framework:problem,requires,framework:problem:why_unsolved,framework:problem,,2025-01-01T00:00:00.000Z
edge:framework:solution:what:framework:solution,requires,framework:solution:what,framework:solution,,2025-01-01T00:00:00.000Z
edge:framework:solution:different:framework:solution,requires,framework:solution:different,framework:solution,,2025-01-01T00:00:00.000Z
edge:framework:solution:moat:framework:solution,requires,framework:solution:moat,framework:solution,,2025-01-01T00:00:00.000Z
edge:framework:solution:buildable:framework:solution,requires,framework:solution:buildable,framework:solution,,2025-01-01T00:00:00.000Z
edge:framework:solution:v1:framework:solution,requires,framework:solution:v1,framework:solution,,2025-01-01T00:00:00.000Z
edge:framework:timing:why_now:framework:timing,requires,framework:timing:why_now,framework:timing,,2025-01-01T00:00:00.000Z
edge:framework:timing:change:framework:timing,requires,framework:timing:change,framework:timing,,2025-01-01T00:00:00.000Z
edge:framework:timing:window:framework:timing,requires,framework:timing:window,framework:timing,,2025-01-01T00:00:00.000Z
edge:framework:timing:late:framework:timing,requires,framework:timing:late,framework:timing,,2025-01-01T00:00:00.000Z
edge:framework:founder:why_you:framework:founder,requires,framework:founder:why_you,framework:founder,,2025-01-01T00:00:00.000Z
edge:framework:founder:domain:framework:founder,requires,framework:founder:domain,framework:founder,,2025-01-01T00:00:00.000Z
edge:framework:founder:technical:framework:founder,requires,framework:founder:technical,framework:founder,,2025-01-01T00:00:00.000Z
edge:framework:founder:network:framework:founder,requires,framework:founder:network,framework:founder,,2025-01-01T00:00:00.000Z
edge:framework:founder:gaps:framework:founder,requires,framework:founder:gaps,framework:founder,,2025-01-01T00:00:00.000Z
edge:framework:founder:cofounder:framework:founder,requires,framework:founder:cofounder,framework:founder,,2025-01-01T00:00:00.000Z
edge:framework:competition:direct:framework:competition,requires,framework:competition:direct,framework:competition,,2025-01-01T00:00:00.000Z
edge:framework:competition:indirect:framework:competition,requires,framework:competition:indirect,framework:competition,,2025-01-01T00:00:00.000Z
edge:framework:competition:failed:framework:competition,requires,framework:competition:failed,framework:competition,,2025-01-01T00:00:00.000Z
edge:framework:competition:incumbents:framework:competition,requires,framework:competition:incumbents,framework:competition,,2025-01-01T00:00:00.000Z
edge:framework:business_model:revenue:framework:business_model,requires,framework:business_model:revenue,framework:business_model,,2025-01-01T00:00:00.000Z
edge:framework:business_model:pricing:framework:business_model,requires,framework:business_model:pricing,framework:business_model,,2025-01-01T00:00:00.000Z
edge:framework:business_model:unit_economics:framework:business_model,requires,framework:business_model:unit_economics,framework:business_model,,2025-01-01T00:00:00.000Z
edge:framework:business_model:profitability:framework:business_model,requires,framework:business_model:profitability,framework:business_model,,2025-01-01T00:00:00.000Z
edge:framework:gtm:pmf_type:framework:gtm,requires,framework:gtm:pmf_type,framework:gtm,,2025-01-01T00:00:00.000Z
edge:framework:gtm:first_customers:framework:gtm,requires,framework:gtm:first_customers,framework:gtm,,2025-01-01T00:00:00.000Z
edge:framework:gtm:acquisition:framework:gtm,requires,framework:gtm:acquisition,framework:gtm,,2025-01-01T00:00:00.000Z
edge:framework:gtm:sales_motion:framework:gtm,requires,framework:gtm:sales_motion,framework:gtm,,2025-01-01T00:00:00.000Z
edge:framework:gtm:expansion:framework:gtm,requires,framework:gtm:expansion,framework:gtm,,2025-01-01T00:00:00.000Z
